SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99937457,Apple,Adaptador de Lightning a entrada de 3.5 mm para audífonos,1,4.990
99919669,Apple,Adaptador de Video VGA a USB-C,1,19.990
99937678,Apple,Adaptador multipuerto de USB-C a VGA,1,19.990
99919984,Apple,Apple Mini Display Port to VGA Adapter,3,9.989
99937484,Apple,Cable de carga USB-C (2 m),4,9.989
Calculadoras,,,,
99936147,Casio,Calculadora Científica FX-82MS-2,1,24.990
99936145,Casio,Calculadora Gráfica FX-7400GII,1,24.990
Candados y Seguridad,,,,
99936087,Kensington,Cable  ClickSafe 2.0 con Kit  Dell®,8,4.990
99932677,Targus,"Candado Notebook 3 en 1 Cabezales Intercambiables Tbar-Nano-Noble",1,9.990
99914049,Kensington,"Candado Notebook Clicksafe con llave 1,5 mts",2,4.990
99924156,Targus,"Candado Notebook Defcon con clave 1,98 mts",2,4.990
99924157,Targus,"Candado Notebook Eco con clave 1,5 mts",7,4.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
9994655,Kensington,Candado Notebook MicroSaver con llave 1.8 mts,7,4.990
99932886,Kensington,"Candado Notebook MicroSaver® 2.0 con llave 1,8mts",1,4.990
99922128,Kensington,"Candado Notebook MiniSaver para Ultrabook con llave 1,8mts",11,4.990
Capturadoras de Video,,,,
99937942,Gear Gamer,Capturadora Gamer Leeroy 1080P HD,2,25.990
99932348,AverMedia,Capturadora Live Gamer Mini 1080P FHD,1,46.990
Carcasas,,,,
99923913,Samsung,Carcasa J7 2016 Flip Wallet - Negro,1,4.990
99927443,GSM,Carcasa Moto G4 Negra,1,490
99927448,GSM,Carcasa Samsung J5 Prime Negra,1,490
27453,GSM,Carcasa Samsung J7 Prime Fucsia,2,490
27452,GSM,Carcasa Samsung J7 Prime Negra,1,490
33729,MobileHUT,Carcasa Y9 2019 Negra,1,990
18054,Samsung,Para Galaxy Grand 2 Duos carcasa flip wallet negra,1,490
Cargadores Notebooks,,,,
99946519,Spektra,"Cargador alternativo para Notebook Acer, 65W, 19V, 3.42A,conector 5.5mm*1.7mm c/cable de poder",1,10.990
99940648,Spektra,"Cargador alternativo para Notebook Asus, 45W, 19V, 2,37A,conector 5.5mm*2.5mm",1,2.990
99946522,Spektra,"Cargador alternativo para Notebook Dell, 45W, 19.5V, 2.31A,conector 4.5mm*3.0mm C/Cable de Poder",1,10.990
99940628,Spektra,"Cargador alternativo para Notebook HP 65W, 19,5V, 3.33A,conector 4,5mm*3mm",1,4.990
99946534,Spektra,"Cargador alternativo para Notebook Lenovo, 65W, 20V,3.25A, Modelo Yoga C/Cable de Poder",1,16.990
99940639,Spektra,"Cargador alternativo para notebook Lenovo, 45W, 20V,2.25A, conector 4mm*1.7",1,4.990
Cargadores para automóvil,,,,
99918047,Samsung,Cargador de Auto con Cable Micro USB Samsung Negro,1,4.990
99916833,Cygnett,Cargador de Auto con cable 30 Pin 1M Cygnett Negro,1,2.990
Cargadores para casa,,,,
99916842,PCF OEM,"Cargador (Adaptador) USB para Auto y Casa con CableRetractil 30 pin para iPhone 4/4S",5,2.990
99926764,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,1,4.990
99939003,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,1,4.990
