SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
999941,Epson,Cartucho de Tinta Original Epson T073420-AL Amarillo,2,990
99921517,Epson,Cartucho de Tinta Original Epson T296120-AL Negro,1,990
99914233,Epson,"Cartucho de Tinta Original Epson T58464 colores + Papelfotográfico",2,14.990
99926995,Epson,Cartucho de Tinta Original Epson T788XXL220-AL Cyan,1,990
99926997,Epson,Cartucho de Tinta Original Epson T788XXL420-AL Amarillo,1,990
99917145,HP,Cartucho de Tinta Original HP 970 Negro,3,23.992
99949960,Canon,LIQ - Cartucho de Tinta Original Canon CLI-181XL Amarillo,1,3.992
Cartuchos de Tinta y Botellas para Plotter,,,,
99933408,Epson,Cartucho de Tinta Original Epson T40V220 Cyan / 26ml,1,19.192
99949920,HP,LIQ - Cartucho de Tinta Original HP 712 Magenta / 29ml,1,11.992
Cintas (Rotuladoras),,,,
99915370,Epson,Cinta S015631 LX-350,1,952
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99923136,Brother,"Cinta blanca-Texto negro  DK-1209 62mm / 29mm 800etiquetas (Ancho / Largo)",4,7.991
99929601,Brother,"Cinta blanca-Texto negro DK-2210 29mm/ 30,48 m(Ancho/Largo)",1,2.392
99927246,Brother,Cinta blanca-Texto negro M-231 12mm / 8mm (Ancho / Largo),4,3.354
99926241,Brother,"Cinta fondo blanco-Texto Rojo/Negro DK-2251 62mm / 15,2m(Ancho / Largo)",1,2.392
Componentes Electrónicos,,,,
99930399,Adafruit,Adaptador USB-microUSB con tierras aisladas,1,14.392
99930565,PCF OEM,Capacitor Electrolitico 4700uF 10V,1,392
99949858,"TRACOPOWER",LIQ - Mini Conversor DC/DC Buck 5V 1A,1,3.192
Conectores de Red,,,,
9998967,Spektra,Conector RJ45 CAT6 10 Unidades,1,392
99925642,Spektra,Faceplate dos puertos,3,392
9998176,Air802,Faceplate un puerto,1,392
99921696,Spektra,Faceplate un puerto,2,392
99934876,Tripp Lite,"Juego Extensor Activo DisplayPort a HDMI sobre Cat5 / Cat6,45m",1,15.992
99943297,TPLink,Splitter PoE,1,4.792
Controles TV,,,,
